Author Name,Book Name,Language,Words,Age,Views,Favorite
Heather Ray,The Terran Ranger Saga - The Preliminaries Volume One,English,10911,14 and up,1557,4
John Reeves,The Incredible Hulk,English,8773,0 and up,1541,10
Elena House,2012,English,1593,0 and up,1536,38
Charlotte Thorne,The Lost,English,1075,0 and up,1504,26
A.H. Roberts,"""After Roswell""",English,72060,0 and up,1485,10
Heather Ray,Power Rangers Zeo,English,10626,14 and up,1483,1
Mikey Luke Mitchell,Inverse,English,26798,0 and up,1463,15
Heather Ray,The Spectrum Force/Rachel Summers,English,19415,14 and up,1445,12
Keith Trimm,Morningstar/Alignment,English,63463,10 and up,1436,7
S. G. Ricketts,Green World,English,1557,0 and up,1410,35
Heather Ray,Power Rangers Turbo,English,6685,14 and up,1396,2
Heather Ray,Power Rangers In Space/Power Rangers Lost Galaxy,English,59437,14 and up,1388,4
Cory Doctorow,The Super Man and the Bugout,English,10890,0 and up,1387,9
Michael  Marino,The Space Noir Bar,English,54153,16 and up,1373,5
Megan Evans,James Cameron's Avatar,English,2,0 and up,1371,9
JOE PARENTE,THE TIMING,English,30286,0 and up,1365,52
Cory Doctorow,Eastern Standard Tribe,English,53329,0 and up,1309,5
Lillith Devero,My Vampire Kidnapper,English,33499,14 and up,1309,33
Heather Ray,The Terran Ranger Saga Volume 3,English,32874,14 and up,1307,2
Garrett P. Serviss,The Moon Metal,English,24604,0 and up,1281,14
Heather Ray,The Terran Ranger Saga - The Preliminaries Volume 3,English,15430,14 and up,1244,1
M J Marlow,Transformation,English,80173,0 and up,1221,8
R. Brownell,A Foggy Beginning,English,8360,0 and up,1214,19
Terry Wilson,Abort Abort Abort,English,2517,0 and up,1209,7
Sutherland Staatz,A Hero's End,English,4641,0 and up,1200,12
Jakob Waechter,Solar Warden,English,72730,12 and up,1186,6
Ryan Matthew Harker,Attack of the Giant Chickens,English,3785,0 and up,1160,20
Terry Wilson,A Routine Departure,English,8612,0 and up,1123,3
Heather Ray,Mighty Morphin Power Rangers,English,11637,14 and up,1113,1
Heather Ray,Mighty Morphin Power Rangers/Power Rangers Lost Galaxy,English,22065,14 and up,1100,2
M J Marlow,Empath's Angel,English,57751,16 and up,1097,13
unknown author,Vampire Diaries,English,1752,14 and up,1080,0
Heather Ray,Power Rangers Turbo,English,7158,14 and up,1054,1
Heather Ray,The Terran Ranger Saga Volume 6,English,64117,14 and up,1040,1
Jason Ronin,Out of Time,English,6481,0 and up,1015,14
Heather Ray,Power Rangers In Space,English,5084,14 and up,1002,3
J.T. Taylor,The Ark,English,606,0 and up,1001,15
NiuTea,Outbreak,English,3378,0 and up,984,21
DM Arnold,Earthbound,English,97452,16 and up,984,4
Edward Bellamy,Looking Backward 2000 - 1887,English,82454,0 and up,979,3
Heather Ray,Mighty Morphin Power Rangers - Love Is Series,English,8316,14 and up,977,2
Jason M. Green,Machines,English,13270,0 and up,977,17
Bruce Alan Humphrey,Winds of Time,English,5293,0 and up,947,22
Cory Doctorow,Return to Pleasure Island,English,11133,0 and up,946,4
Heather Ray,The Terran Rangers/Spiderman Volume 4:,English,19156,14 and up,928,3
D. S. Novis,Frozen Embers,English,26868,16 and up,913,18
Heather Ray,Power Rangers In Space,English,6922,14 and up,912,2
Heather Ray,Power Rangers Lost Galaxy,English,10535,14 and up,908,3
Elizabeth Thomas,Through the eyes of Vaktovians,English,3670,0 and up,900,4
Heather Ray,Power Rangers In Space,English,31045,14 and up,891,2
Terrence Aym,The Cat Woman from Mars - and Other Drabbles,English,314,0 and up,885,4
Garrett Putman Serviss,Edison's Conquest of Mars,English,65369,0 and up,879,4
Ismael Camacho Arango,Siete minutos,English,64955,0 and up,866,2
Jülie A.  (Selia Ascrala),The Satori Chore,English,14457,14 and up,854,22
Judy Colella,Animaton,English,7649,0 and up,852,27
Heather Ray,Power Rangers In Space,English,5827,14 and up,850,2
Sian Webster,Extraordinarily Unordinary,English,3550,14 and up,841,8
Heather Ray,The Terran Rangers Saga Volume 1,English,16411,14 and up,837,3
Heather Ray,Power Rangers In Space,English,5149,14 and up,834,2
Heather Ray,Turbo: A Power Rangers Movie,English,52367,14 and up,832,2
Ben O'Neill,Darkness to Darkness,English,1996,0 and up,831,16
Sir Arthur Conan Doyle,The Poison Belt,English,29220,0 and up,821,10
Terry Wilson,Breakwire,English,4041,0 and up,809,5
Melanie van Roosendaal,Avatar,English,115,0 and up,805,16
Amber  Riel,The Full Moon,English,26492,16 and up,799,22
Cory Doctorow,Craphound,English,9673,0 and up,788,8
Julie Steimle,Vigilante,English,4772,0 and up,779,1
Susan M. Bowes,The Extinction of Life,English,897,0 and up,760,15
Daniel Lucas,The Edge of the Map,English,11588,0 and up,738,9
Wolfheart,Project Sable Rose,English,19753,0 and up,733,7
Rob Astor,A Medal For Mary,English,23684,0 and up,732,10
DM Arnold,The Lost Colony,English,72370,16 and up,717,2
Heather Ray,The Terran Rangers/Final Fantasy VII,English,65969,14 and up,703,2
Gary L Beer,Grailem,English,56215,12 and up,701,8
M J Marlow,Voices,English,62519,16 and up,691,1
kurosse,Hybrid X,English,6375,14 and up,688,21
Tyrone Vincent Banks,The Service Revolution,English,2241,0 and up,677,4
Albereez,My Life as a Space-Time Traveler:,English,4831,0 and up,663,6
B.T. Johnson,Vaktovian Stories,English,1,0 and up,661,5
Aaron Redfern,Stories About the Rain,English,7761,12 and up,659,9
Cory Doctorow,Shadow of the Mothaship,English,11057,0 and up,653,4
Bethan Rees,Aliens in Little Red Riding Hood?,English,529,8 and up,649,4
Eftos Eftos,Kingdom of a thousand [EN Premier] (BX-Edition),English,49291,0 and up,642,3
Julie Steimle,Integral,English,8756,0 and up,631,8
Heather Ray,The Terran Ranger/The Spectrum Force - The Preliminaries Volume 2,English,25714,14 and up,618,1
Alan Gasparutti,Return To Earth,English,29,0 and up,616,11
Heather Ray,Mighty Morphin Power Rangers,English,15542,14 and up,616,2
Heather Ray,Power Rangers In Space,English,6017,14 and up,603,4
Julie Steimle,I am NOT Electricity,English,4933,0 and up,603,3
Amber Millard,The Foundation Zone: Extensions,English,20000,14 and up,599,13
SARAH JEANS,UNDER ALIEN RULE,English,1004,0 and up,597,16
Tyrone Vincent Banks,The Service Revolution,English,2808,0 and up,593,6
Judy Colella,Sanity,English,25436,16 and up,586,18
A. R.  Teller,Pandora,English,15673,8 and up,584,17
susan bowes,Eve,English,2775,0 and up,579,12
Mike Burns,"Still Valley At 20,000 Feet",English,24034,0 and up,571,4
Judy Colella,Agamon,English,906,0 and up,563,10
Gabrielle  B-G,A Prison for Paradise,English,12543,0 and up,562,5
N. Barry Carver,Couriers,English,2,0 and up,555,28
leahnese,Seth,English,568,16 and up,552,6
Jason G. Ward,Into a New Year,English,1035,0 and up,550,3
Mackenzie Hart,Tears of Blood,English,2992,0 and up,549,17
B.T. Johnson,Skies of Tomorrow,English,15,0 and up,546,5
L.W. Samuelson,The Blue African,English,2,0 and up,545,4
Mike Morris,Saving the Cyber Soaps,English,20783,0 and up,532,4
Esme Peplow,Chipped,English,3144,12 and up,531,8
Terry Wilson,Landing Small,English,3252,0 and up,529,7
Niraj Pant,Black Holes In A Brief History,English,8178,14 and up,529,1
Heather Ray,Mighty Morphin Power Rangers - Love Is Series,English,9064,12 and up,526,2
kavongrubbs-hampton,Planet Zabo,English,641,0 and up,523,9
MARCO PALMER,FEUD OF THE WORLDS,English,4399,0 and up,521,6
Robert Johnson,The Flight of Darius,English,1483,0 and up,521,4
Cherra Miller,The other kind,English,897,0 and up,520,10
Leslie Claussen,14-21,English,1538,0 and up,519,12
Julie Steimle,Martian Prophecies: A Parthan Summer,English,15161,0 and up,519,5
Julie Steimle,Just An Undercity Rat,English,18394,0 and up,517,5
Julie Steimle,If a Martian Went to the Movies...,English,1290,0 and up,515,7
Heather Ray,Power Rangers In Space,English,13043,14 and up,514,2
Ronald Lee,To Live Again,English,3096,0 and up,514,2
SARAH JEANS,UNDER ALIEN RULE 2,English,801,0 and up,512,3
Paulina Sakura,The dark matter,English,23634,0 and up,509,2
Thoughtful Puppet,Why,English,3062,0 and up,509,5
Amber  Riel,The Double Moon,English,29836,16 and up,508,14
Rob Astor,Final Exam,English,16532,0 and up,508,9
Heather Ray,Mighty Morphin Power Rangers,English,12613,14 and up,507,2
John Pallister,Complex Existance,English,14760,0 and up,507,5
J.C. Laird,Cad-Bots,English,977,10 and up,504,16
Heather Ray,Mighty Morphin Power Rangers,English,12979,14 and up,500,4
Kaitlyn Garlets,Life Ends,English,5439,0 and up,499,6
Mike Nassau,Sasquatch,English,2461,0 and up,498,4
Kevin Miller,A Chipmunk Comes Calling,English,3075,16 and up,497,2
Pally3209: Lamonte Dole,A Vampires begining,English,777,0 and up,490,6
Glen Marcus,A Space in Time,English,1000,0 and up,488,7
Julie Steimle,The Secret of Zormna Clendar,English,8017,0 and up,487,10
Heather Ray,The Spectrum Force,English,13313,14 and up,486,5
Ren Kazuki ,Colony 8,English,6019,0 and up,484,6
Nao Fujimori (ME!),不要 (Unwanted),English,249,0 and up,483,5
Heather Ray,The Terran Rangers/X-Men,English,36670,14 and up,482,2
Evelyn J. Steward,The Blood Red ruby,English,2159,0 and up,481,6
Ron Feasel,Memoirs of an Alien,English,3125,0 and up,481,4
C. Arnold Brown,Outpost,English,1985,0 and up,480,7
Blinkypoet,Retirement Plan,English,1107,0 and up,476,1
N. Barry Carver,Three Millennia in a Balloon,English,1597,0 and up,475,24
Niels Vandamme,Tempest,English,2,0 and up,475,7
Heather Ray,The Terran Ranger Saga Volume 2,English,15863,14 and up,474,2
Ronald Lee,Caught In The River,English,24188,0 and up,470,4
bob lark,rise of the dogs,English,2,0 and up,468,2
Anna Garcia,siren-chapter 2,English,3403,0 and up,462,21
Julie Steimle,Broken,English,6196,0 and up,457,3
Julie Steimle,"Ashes, Dust, and Androids",English,4172,0 and up,456,9
Tom Lichtenberg,Death Ray Butterfly,English,19343,0 and up,455,1
R. W. Ringwald II,Ailana,English,2359,0 and up,453,10
Heather Ray,The Terran Ranger Saga Volume 5,English,33096,14 and up,452,3
Heather Ray,Power Rangers In Space,English,6774,14 and up,451,3
CD Sanders,A manipulation of time and space,English,4152,12 and up,451,9
DM Arnold,The Lexal Affair,English,80027,16 and up,450,2
Sarah Cornett,Virus,English,510,12 and up,448,7
Julie Steimle,The Mars Project,English,123775,14 and up,445,1
Cassidy Shay and Juniper Lee,Worlds,English,2528,0 and up,443,9
Amber Riel,Sylent Nyght,English,28564,16 and up,442,7
Alan Gasparutti,The Twins Paradox,English,1,0 and up,442,3
moriah israel,ROBON MAX,English,1760,0 and up,441,9
Cari Arthur,Last Moments,English,7894,0 and up,438,4
Eftos,S01E09 Immediate life-prolonging measures,English,2187,0 and up,437,0
DM  Arnold,The Altian Plague,English,81096,16 and up,436,2
P.J.Lawton,Beyond Hyperspace Book 4,English,3154,0 and up,434,2
Amber  Riel,The Blood Moon,English,22062,16 and up,432,14
Julie Steimle,Apocalypse Before Finals,English,123177,12 and up,430,0
Julie Steimle,If a Martian Went to the Mall...,English,2697,0 and up,429,1
Alok Dasgupta,Black Tsunami,English,1056,0 and up,427,4
Heather Ray,Mighty Morphin Power Rangers,English,26126,14 and up,427,3
DCS,Synarchy Book 2: The Ascension,English,2,0 and up,426,3
Gabrielle Bryant-Gainer,The Last Liberty,English,7655,0 and up,426,4
P.J.Lawton,Beyond Hyperspace Book 1,English,2042,0 and up,426,3
Shannon Sabotage,Disturbed Things,English,9295,0 and up,424,10
Ken Rodenberger,When the Ants go Marching.,English,1005,0 and up,424,2
Anastassia Cassar,Tailos,English,2264,0 and up,422,9
Amber Riel,The Demon of Egypt: Nala's Side,English,30970,14 and up,421,9
Heather Ray,Mighty Morphin Power Rangers - Love Is Series,English,9278,14 and up,419,2
M.E & T.O.,Eco-Perfect,English,7988,10 and up,416,6
Julie Steimle,A Parthan Summer,English,113789,14 and up,416,0
Tilman-Otto WAGNER,2 0 7 7,English,6045,14 and up,415,4
James Gerard,Solutions: The Dilemma of Hopelessness,English,63750,16 and up,415,1
FRED VILA,INHUMAN TOUCH,English,2,0 and up,409,1
Heather Ray,The Spectrum Force,English,34107,14 and up,409,5
Matthew McGee,Immortal,English,1394,0 and up,406,2
Andrew J Roberts,Mates,English,1014,0 and up,403,3
Anna Blue,The True Tales Of Piper Jones,English,3342,0 and up,400,5
reallynola,First Encounter,English,713,0 and up,399,5
Kyle Hill,A Space Oddity,English,750,0 and up,398,4
Eftos Epos,Eftos-Epos S01E32 Darkest hour,English,1090,0 and up,396,1
Ian Cardin,Escape,English,3452,0 and up,396,2
Nicole  Y,Project Firestar,English,8097,0 and up,394,13
Thunderfield,Palimpsest,English,15295,0 and up,392,2
Jordan Wadley,Skylit ,English,13488,14 and up,392,7
kimberly wilkerson,Midnight's Wish,English,476,0 and up,388,2
Chris Wilson,Revenge,English,10665,0 and up,386,3
Edge,Dead Tropics,English,2,0 and up,384,9
Sydney Eyes,Last Hope,English,959,0 and up,383,9
Julie Steimle,Bones in the Sand,English,78998,14 and up,383,2
"MsMario 317, Linny  Hill",Adventures in Halo,English,3331,12 and up,382,2
Tony Thorne MBE,Relocated,English,1148,0 and up,382,10
Jessica Hughes,Republic (Working Title),English,2,0 and up,382,3
Luke Pontbriand,Shapeshifter,English,3883,14 and up,378,5
Blinkypoet,Silence,English,2810,0 and up,377,2
Chris Harris,Emergence,English,29042,12 and up,375,3
dublinertinte,Bless Me On My Way - English Edition,English,19195,0 and up,373,2
J D THORSEN,FROM WITHIN,English,2002,0 and up,372,3
Ali,The Darkest Night,English,72,6 and up,371,3
Bennett R. Coles,Casualties of War,English,2569,14 and up,369,2
Chris H,A War in Shadows,English,1807,10 and up,368,3
Les Shaw,Learning By Doing,English,1992,6 and up,366,4
Robinnoh,AlterNative-WereLof...,English,2858,10 and up,366,4
Bennett Coles,Virtues of War,English,4176,0 and up,365,4
Eftos,S01E13 Promotion,English,1928,0 and up,365,1
maggie morris,riven,English,33660,12 and up,365,8
Judy Colella,Backshift-Replay,English,9479,12 and up,365,3
Eftos,S01E08 Svinenysh,English,1285,0 and up,363,1
DM Arnold,Planetbound,English,80848,16 and up,363,2
stacey horry,journal of impossible things,English,840,0 and up,362,3
David Roth,Forcas III,English,2,0 and up,360,3
Yezall Strongheart,"Captain Lanie Romein, A.K.A. The Ice Queen",English,2030,14 and up,359,7
Lara Stevanato,Yuki: blessing snow,English,2272,0 and up,359,3
Wolfheart,The Journy,English,2941,0 and up,358,4
DM Arnold,Lise,English,77336,16 and up,358,1
A.J. Cole,Abomination,English,6910,14 and up,355,5
Lillith Devero,In the Shadows,English,9081,14 and up,355,5
Lady Asha Wheeler,A Whole New World,English,102,10 and up,354,1
"Mythic ., Captain Private",The Ark,English,20166,16 and up,352,7
Zvi Zaks,The Taxbell,English,3422,14 and up,352,0
shanye bamila,kinetics,English,1412,10 and up,350,1
P. K. Gallagher,Primary Directive,English,997,12 and up,348,7
Leah Jensen,Blood on the Stars,English,743,0 and up,348,5
Amber  Riel,Changing Lives,English,3919,16 and up,347,4
Rolonda Walls,Rise Of Jazlenia,English,5475,8 and up,347,2
Nick Wix,Cyberneurosis,English,914,0 and up,346,2
Rayahfer Stays,Changing Fate,English,1588,16 and up,346,7
Luke Scholey,A Second Chance,English,1162,16 and up,346,1
Chris Harris,Blade Of Reckoning,English,5690,12 and up,345,1
Keith G. Laufenberg,MAD,English,2146,0 and up,345,5
Anna Boyette,Blackout Forever,English,2711,0 and up,343,6
A. D. Knight,The Computer,English,139,0 and up,342,2
Josh Bodine,The Hidden Origin,English,195,0 and up,341,1
Josue Sanchez,Alters,English,2,0 and up,340,7
Robert G Moons,XIN: The Veiled Genocides,English,2,14 and up,340,1
Wolfheart,Relics of Blood,English,6650,0 and up,337,2
Emir Bozkurthanoglu,The Legend City,English,4521,0 and up,336,3
Jack Delgado,Welcome to Omega,English,1190,0 and up,336,5
Ellie Quince,The History Of Mars,English,344,0 and up,333,6
Stacey Doss,Baptism by Fire,English,6140,0 and up,331,5
Julie Steimle,If a Martian Came to Dinner...,English,1385,0 and up,331,1
Noa Fuuma,Angel wings,English,807,0 and up,328,3
James Gerard,The Garden Club,English,54686,16 and up,327,2
Amber Riel,The Salem Trials,English,14671,16 and up,326,6
RoShawty-Short,Beautiful,English,16,0 and up,326,2
Julie Steimle,If a Martian When to our High School Classes...,English,2202,0 and up,326,0
Eftos Epos,Eftos-Epos S01E18 Nef Silva,English,2197,0 and up,325,1
H.L. Dyer,The Zodiac Chronicles,English,816,0 and up,325,3
Heather Ray,The Terran Ranger Saga Volume 4,English,20551,14 and up,322,2
Eftos,S01E03 - Tunnel (DE),English,1294,0 and up,320,0
S. D. A.,My World Came Too Soon,English,2554,0 and up,320,7
Catalina,My Journal,English,5310,0 and up,319,4
Julie Steimle,The Goatherd and the King,English,7076,0 and up,319,2
Kestral  Volta,Sky Red,English,6466,0 and up,318,11
Amber Knoernschild,Two Worlds,English,899,0 and up,315,0
Judy Colella,Falling Forward,English,3625,12 and up,314,7
Anya T. Catmus,Eva (completed),English,1883,8 and up,314,5
Ren Willi,Remember This,English,2367,16 and up,311,3
Eftos Epos,Eftos-Epos S02E09 Khi-Chi Kokoyama Petch-a-boon,English,1391,0 and up,311,0
Alice Cullen,My Story,English,1812,0 and up,309,3
Kennedy Harkins,Born of Kytec,English,7075,0 and up,309,7
P.J.Lawton,Beyond Hyperspace Book 3,English,3769,0 and up,309,2
Marvin Rabinovitch,Changeover,English,2,0 and up,309,3
Cleveland W. Gibson,The E-Cobantal Hit,English,1148,0 and up,308,1
jay jay sonny boy!!!!!!!,"the bounty hunter, jango fett",English,101,0 and up,305,3
Julia Finch,The Locked and The Lost,English,8926,0 and up,304,6
Gabrielle BG,The Lost Foundations,English,9967,0 and up,302,1
Chris Harris,The Four Swords,English,2,0 and up,301,7
Larhonda Guinn,The Melt Down,English,80,0 and up,300,2
Sian  Webster,The Scientist,English,8565,12 and up,300,3
Taryn Owens,Evolution's Child,English,1162,10 and up,299,6
John Carrick,The Legend of Ashley Fox,English,2,0 and up,298,4
Lisa Logue,Chasers,English,3336,16 and up,297,5
Anthony Perry,Millenium Chronicles Book 1,English,2,0 and up,296,1
Cory Doctorow,"Home Again, Home Again",English,13276,0 and up,295,0
Glogirl,Conventry,English,170,0 and up,295,2
Mackenzie Hart,Tears of Blood 2,English,1539,0 and up,295,7
PHILLIP ROBBINS,ALLIE'S RETURN,English,1933,0 and up,293,0
Brian Doswell,Tree Rings,English,2163,0 and up,292,3
Tara Sanders,Forth Millennium,English,2,0 and up,292,2
Nathan Manor,Tale of the Desert,English,3034,0 and up,292,1
Nick W.,Pearl-Shaped Prison,English,758,0 and up,291,4
Patrick Sean Lee,Leaving Marineris,English,939,0 and up,289,10
Jsivick,The God Calculation,English,2,0 and up,287,1
Alok Dasgupta,The Secret,English,1457,0 and up,285,2
Eftos,S01E06 on one line,English,2678,0 and up,282,0
Michael Kilcannon,Shattered Realities,English,3692,0 and up,282,3
Crimson Rose,Change,English,1352,0 and up,282,2
elizabeth mcbee,john,English,140,0 and up,281,0
Samuel Chincola,THE BOOK WEAVER,English,70,0 and up,280,2
Geordi Riker,First Law,English,999,10 and up,280,6
Quinton Todd,When Night Came,English,809,0 and up,280,1
Chris Harris,Blade Of Reckoning,English,4102,12 and up,278,2
TheBeliever,C C K H L,English,3402,0 and up,277,0
S Mckee,The Wall (Extended),English,9092,16 and up,277,2
E FromHebs,The Truth,English,10483,12 and up,276,1
M.S Mitchell,Silver,English,2,0 and up,276,4
P.J.Lawton,The Eyes Have It,English,715,0 and up,276,2
Rainbow Love,Crashed,English,1403,0 and up,276,5
paper.planes,Heist,English,687,0 and up,275,6
Eftos,S01E01 - Kausales (DE),English,1293,0 and up,273,0
Eftos Epos,Eftos-Epos S01E33 © Eftos Ent.,English,4931,0 and up,273,1
Jonathan Kieran,Rowan Blaize,English,1492,0 and up,272,3
Josh Egamino,Nerve,English,2,0 and up,270,1
Lillian Colella,Future Machine,English,1317,12 and up,270,2
Spottednose,The Prophecy,English,1829,0 and up,270,2
Geordi Riker,Second Law,English,999,10 and up,269,4
Ron Sanders,Signature,English,2,0 and up,269,2
Murph,Marre Nostrum,English,2715,16 and up,268,2
Cielo,Dreamer-in,English,2397,0 and up,266,4
Chris Harris,The Lords: Part 2 Of 2,English,2,0 and up,265,4
Edwin Abbot,Flatland,English,2,12 and up,265,1
Quinn & Katie,Mytaht (moo-tante),English,3483,0 and up,265,1
P.J.Lawton,Beyond Hyperspace Book 2,English,3113,0 and up,263,3
Sian Webster,The Sinister Shadows,English,12975,14 and up,263,6
M.R.Brinson,Sy Legend (book #1,English,60,0 and up,262,1
Heather Ray,Mighty Morphin Power Rangers,English,9251,14 and up,261,1
Mackenzie Hart,Tears of Blood,English,1328,0 and up,260,4
Morgan N.,Everlasting,English,1849,10 and up,260,4
Haneefa Muhammad,The Fight,English,8440,16 and up,259,1
Evelyn J. Steward,Explorer,English,886,12 and up,258,1
Eftos Epos,Eftos-Epos S01E29 Battle around Exa-Nano,English,1751,0 and up,257,0
E.A.Dykes,Vampire Childhood,English,792,10 and up,256,1
Lemuel Gulliver XVI,""". .And Gulliver Returns""--In Search of Utopia--",English,1,0 and up,255,2
Geordi  Riker,Third Law,English,789,10 and up,255,3
Fire Phex,Perfections,English,2696,10 and up,255,5
Deanna Wiseman,Time Collapse,English,786,0 and up,254,0
Elia Cisneros,The Nearly People,English,1909,0 and up,254,3
Ms. Desirey Books,iRebellion: Double Agent,English,3326,0 and up,253,3
Amber Riel,The Demon of Egypt: Imhotep's Story,English,13626,14 and up,252,12
Nick W.,An Outside Perspective,English,554,0 and up,252,0
Drig Dramel,Command Line ,English,15344,12 and up,252,9
Amanda Fraser,End of the World,English,2,0 and up,251,1
Mallory Davis,The Monster Inside,English,213,0 and up,251,3
Caterina Alexander,Sing your heart out,English,756,14 and up,251,6
Chris Harris,The Lords: part 1 of 2,English,2,0 and up,250,5
Eftos Epos,Eftos-Epos S02E01 My name is Theoplus Noktios,English,1452,0 and up,250,1
Emery Garriott,Everything was Fine,English,1030,0 and up,250,3
Eftos Eftos,Eftos-Epos S01E22 Blind Passengers,English,2602,0 and up,248,0
Madame Falls,No Time,English,778,0 and up,247,4
Heather Fledderus,Mirror Image,English,1473,0 and up,247,4
Orchid Berch,1,English,728,16 and up,246,1
Michael Masomi,Seniorocracy,English,1878,14 and up,246,0
Raymond Brettschneider,The Jump ~unfinished~,English,2185,0 and up,246,1
Eftos,S01E03 Tunnel,English,1249,0 and up,245,0
Eftos,S01E12 Classes,English,2953,0 and up,245,0
A. E. W.(aka:murderousintent),The Last Stand,English,669,0 and up,245,3
Amber Riel,Asmyne,English,27040,16 and up,244,2
Esther Machethe,DUSK,English,51526,10 and up,244,4
BML Hillen-Keene,Darken: Christmas Thoughts,English,1130,0 and up,242,2
Cain A. Vickers,Long Night of Solace,English,1,0 and up,241,0
J. D. Mincey,Arian Falls,English,2,0 and up,240,0
S. G. Ricketts,Grains of Sand,English,452,0 and up,240,2
Eftos,"S01E05 Ancient, cold",English,1403,0 and up,239,0
Eftos,S01E16 The Videoconference,English,1334,0 and up,239,0
S.L. Charest,Metal Child,English,128,0 and up,237,3
Ron Sanders,Elis Royd,English,2,0 and up,237,3
Eftos Epos,Eftos-Epos S01E30 Baptism,English,1122,0 and up,236,0
Robert F. Clifton,The Mojave Heathen,English,24873,16 and up,236,2
Atulesh Jha,The Last Of Them,English,2,0 and up,235,0
Sarah Cornett & Jade Pickering,Gentics,English,154,12 and up,235,2
Ivy Bernet,The Unforeseen Development,English,994,0 and up,235,0
Aaron Redfern,So Swiftly Ended,English,305,0 and up,233,7
annie lynn weber,when the lights go out,English,1,0 and up,232,1
Terry Wilson,The New Sunrise,English,1666,0 and up,232,2
Sian Webster,The Inadequate Experiments,English,12664,14 and up,232,2
Ruben Rivas,Time Gone,English,1833,16 and up,230,1
Eftos Epos,Eftos-Epos S01E24 Jo-Syntari,English,1747,0 and up,230,0
Eftos Epos,Eftos-Epos S01E31 Stratagem,English,1898,0 and up,230,0
Timothy Carstensen,Operation: Leviathan Twilight,English,727,0 and up,230,2
Murph,Marre Nostrum,English,2146,14 and up,229,2
Jeff Thomason,Good Intentions,English,3175,12 and up,229,3
BR  Raksun,Trust No Aliens,English,1603,12 and up,228,0
A.N.Ross,HUMANIMALS,English,1,0 and up,226,3
happyloser,The Journey In The Oldest Universe: Chapter One,English,197,10 and up,226,3
"Matthew Harris, Steph [Redacted]",Alignment,English,2410,12 and up,226,1
jalens1203,tefie,English,114,0 and up,225,0
P.J.Lawton,Time Ripples (First Chapter),English,897,0 and up,225,1
SpecFic Authors,Raen Deadeye,English,302,0 and up,225,0
William A. Newton,Within The Fallout,English,3,14 and up,224,0
Amber Riel,The Unimaginable World,English,15274,16 and up,222,6
William Stiles,Freedom,English,2781,0 and up,222,1
Alton Newcombe,Jumping the cable,English,2969,0 and up,220,0
happyloser,The Time Machine Reversed: The First Four Chapters,English,2,0 and up,220,0
